						
		MLBB | Week 5 (March 21, 2026) | Groupstage				
						
		Match 1 (Group B)				
		9:00 AM - 11:00 AM				
		UCLM		VS		CIT-U
		University of Cebu - Lapu Lapu and Mandaue		Game 1		Cebu Institute of Technology - University
				9:00 AM		
						
				Game 2		
				9:40 AM		
						
				Game 3		
				10:20 AM		
						
						
		Match 2 (Group A)				
		11:00 AM - 1:00 PM				
		BC		VS		CDU
		Benedicto College		Game 1		Cebu Doctors' University
				11:00 AM		
						
				Game 2		
				11:40 AM		
						
				Game 3		
				12:20 PM		
						
						
		Match 3 (Group B)				
		1:00 PM - 3:00 PM				
		UPC		VS		CEC
		University of the Philippines Cebu		Game 1		Cebu Eastern College
				1:00 PM		
						
				Game 2		
				1:40 PM		
						
				Game 3		
				2:20 PM		
						
						
		Match 4 (Group A)				
		3:00 PM - 5:00 PM				
		USJ-R		VS		USPF
		University of San Jose - Recoletos		Game 1		University of Southern Philippines Foundation
				3:00 PM		
						
				Game 2		
				3:40 PM		
						
				Game 3		
				4:20 PM		
